Order ID,Product Name,Price,Quantity Sold,Full Name,Phone Number,Customer Email,Review,Rating,Review Date
00BZ6XTJP9,Tablet PEAK,211.77,424,Elizabeth Garcia,563-903-9622,c1wjl0zb@gmail.com,Excellent product. Very happy with my purchase!,5,17/12/2020
16EEGPBR2G,Monitor X13O,940.79,212,Elizabeth Miller,495-737-1311,ikv2a961@hotmail.com,"The purchasing process was slow. However, the quality is good.",5,26/02/2021
1JMJXQL1LJ,Monitor H4PN,706.78,247,Robert Brown,272-649-2439,75kf2z8g@yahoo.com,This product is amazing. Highly recommend to everyone!,5,19/09/2022
1RDO1530K5,Printer 0MOR,938.99,126,Elizabeth Williams,281-610-9498,6dmbid3x@gmail.com,Exceeded my expectations. Im very happy with the purchase.,5,12/09/2021
2ME78PJOUO,Camera 9ZGH,930.69,301,Mary Brown,372-630-4082,kxqo63h4@hotmail.com,Fantastic quality and great value. Couldnt be happier!,5,27/06/2020
2S443JQ2R6,Mouse UYNO,585.96,315,Patricia Martinez,998-462-5578,5vtv7n5g@gmail.com,Absolutely love it. Works perfectly as described.,5,11/12/2022
37KDMOPLTV,Printer HUNL,874.07,140,James Miller,451-349-7216,03cg0rov@outlook.com,Im extremely satisfied. Will definitely buy again.,5,06/07/2023
39XG3AEVYQ,Smartphone 6QF7,94.03,327,Mary Martinez,318-521-1294,cftde27u@gmail.com,Excellent product. Worth every penny!,5,23/05/2021
4IEMPZYN4H,Printer LY5I,687.24,180,William Davis,225-653-9217,3drtcw9p@yahoo.com,Best purchase Ive made this year. Super satisfied!,5,15/10/2022
4J3WS5R0JQ,Laptop 44Y5,1395.48,137,William Miller,900-900-7577,ukfe0877@gmail.com,Incredibly satisfied with this item. Great experience!,5,04/01/2021
4WT7XG9O73,Mouse IT5H,1137.64,63,Jennifer Jones,588-814-2336,l7fsscws@gmail.com,Five stars for sure. It works wonderfully!,5,06/10/2023
578PTR9CUG,Headphones LNG4,808.07,446,James Davis,422-895-2748,dvxh2q8b@outlook.com,The quality is top-notch. Very satisfied with my choice.,5,11/04/2023
5IISPTBLVW,Tablet G6NR,1475.73,454,Robert Jones,684-276-9724,0zuo69xp@outlook.com,Amazing experience from start to finish. Very pleased.,5,20/04/2023
5JJ94CAZK9,Tablet OEJ7,1050.18,365,Mary Garcia,652-134-8403,sf7bmamr@yahoo.com,So happy I bought this. Its exactly what I needed.,5,10/12/2022
5R5SO1H140,Smartphone 5R9Q,1041.1,116,Jennifer Miller,537-478-2994,on1sz7db@gmail.com,This exceeded all my expectations. Couldnt be better.,5,09/08/2021
